1,2,3,4,5,6,7,8,9,10,11,12,13,13.1,14
1.0,000,00000,STATE,JAMMU & KASHMIR @&,Total,6337.0,216.0,122.0,2119718.0,12541302.0,6640662.0,5900640.0,222236.0,124.0
2.0,000,00000,STATE,HIMACHAL PRADESH,Total,17882.0,2808.0,59.0,1483280.0,6864602.0,3481873.0,3382729.0,55673.0,123.0
3.0,000,00000,STATE,PUNJAB,Total,12168.0,413.0,217.0,5513071.0,27743338.0,14639465.0,13103873.0,50362.0,551.0
4.0,000,00000,STATE,CHANDIGARH,Total,5.0,0.0,6.0,241173.0,1055450.0,580663.0,474787.0,114.0,9258.0
5.0,000,00000,STATE,UTTARAKHAND,Total,15745.0,1048.0,115.0,2056975.0,10086292.0,5137773.0,4948519.0,53483.0,189.0
6.0,000,00000,STATE,HARYANA,Total,6642.0,199.0,154.0,4857524.0,25351462.0,13494734.0,11856728.0,44212.0,573.0
7.0,000,00000,STATE,NCT OF DELHI,Total,103.0,9.0,113.0,3435999.0,16787941.0,8987326.0,7800615.0,1483.0,11320.0
8.0,000,00000,STATE,RAJASTHAN,Total,43264.0,1408.0,297.0,12711146.0,68548437.0,35550997.0,32997440.0,342239.0,200.0
9.0,000,00000,STATE,UTTAR PRADESH,Total,97814.0,8960.0,915.0,33448035.0,199812341.0,104480510.0,95331831.0,240928.0,829.0
10.0,000,00000,STATE,BIHAR,Total,39073.0,5801.0,199.0,18913565.0,104099452.0,54278157.0,49821295.0,94163.0,1106.0
11.0,000,00000,STATE,SIKKIM,Total,425.0,26.0,9.0,129006.0,610577.0,323070.0,287507.0,7096.0,86.0
12.0,000,00000,STATE,ARUNACHAL PRADESH,Total,5258.0,331.0,27.0,270577.0,1383727.0,713912.0,669815.0,83743.0,17.0
13.0,000,00000,STATE,NAGALAND,Total,1400.0,28.0,26.0,396002.0,1978502.0,1024649.0,953853.0,16579.0,119.3378370227396
14.0,000,00000,STATE,MANIPUR,Total,2515.0,67.0,51.0,557859.0,2855794.0,1438586.0,1417208.0,22327.0,127.90764545169526
15.0,000,00000,STATE,MIZORAM,Total,704.0,126.0,23.0,222853.0,1097206.0,555339.0,541867.0,21081.0,52.04715146340306
16.0,000,00000,STATE,TRIPURA,Total,863.0,12.0,42.0,855556.0,3673917.0,1874376.0,1799541.0,10486.0,350.3640091550639
17.0,000,00000,STATE,MEGHALAYA,Total,6459.0,380.0,22.0,548059.0,2966889.0,1491832.0,1475057.0,22429.0,132.27914753221276
18.0,000,00000,STATE,ASSAM,Total,25372.0,1023.0,214.0,6406471.0,31205576.0,15939443.0,15266133.0,78438.0,397.837476733216
19.0,000,00000,STATE,WEST BENGAL,Total,37469.0,2734.0,909.0,20380315.0,91276115.0,46809027.0,44467088.0,88752.0,1028.440091490896
20.0,000,00000,STATE,JHARKHAND,Total,29492.0,2902.0,228.0,6254781.0,32988134.0,16930315.0,16057819.0,79716.0,413.8207386221085
21.0,000,00000,STATE,ODISHA,Total,47675.0,3636.0,223.0,9637820.0,41974218.0,21212136.0,20762082.0,155707.0,269.57181115813677
22.0,000,00000,STATE,CHHATTISGARH,Total,19567.0,559.0,182.0,5650724.0,25545198.0,12832895.0,12712303.0,135192.0,188.9549529557962
23.0,000,00000,STATE,MADHYA PRADESH,Total,51929.0,2974.0,476.0,15093256.0,72626809.0,37612306.0,35014503.0,308252.0,235.60855728429985
24.0,000,00000,STATE,GUJARAT,Total,17843.0,382.0,348.0,12248428.0,60439692.0,31491260.0,28948432.0,196244.0,307.98236888771123
25.0,000,00000,STATE,DAMAN & DIU,Total,19.0,0.0,8.0,60956.0,243247.0,150301.0,92946.0,111.0,2191.4144144144143
26.0,000,00000,STATE,DADRA & NAGAR HAVELI,Total,65.0,0.0,6.0,76458.0,343709.0,193760.0,149949.0,491.0,700.0183299389003
27.0,000,00000,STATE,MAHARASHTRA,Total,40959.0,2706.0,534.0,24421519.0,112374333.0,58243056.0,54131277.0,307713.0,365.1920230864474
28.0,000,00000,STATE,ANDHRA PRADESH,Total,26286.0,1514.0,353.0,21022588.0,84580777.0,42442146.0,42138631.0,275045.0,307.5161409951099
29.0,000,00000,STATE,KARNATAKA,Total,27397.0,1943.0,347.0,13357027.0,61095297.0,30966657.0,30128640.0,191791.0,319.0
30.0,000,00000,STATE,GOA,Total,320.0,14.0,70.0,343611.0,1458545.0,739140.0,719405.0,3702.0,394.0
31.0,000,00000,STATE,LAKSHADWEEP,Total,6.0,15.0,6.0,11574.0,64473.0,33123.0,31350.0,30.0,2149.0
32.0,000,00000,STATE,KERALA,Total,1017.0,1.0,520.0,7853754.0,33406061.0,16027412.0,17378649.0,38852.0,860.0
33.0,000,00000,STATE,TAMIL NADU,Total,15049.0,930.0,1097.0,18524982.0,72147030.0,36137975.0,36009055.0,130060.0,555.0
34.0,000,00000,STATE,PUDUCHERRY,Total,90.0,0.0,10.0,302450.0,1247953.0,612511.0,635442.0,490.0,2547.0
35.0,000,00000,STATE,ANDAMAN & NICOBAR ISLANDS,Total,396.0,159.0,5.0,94551.0,380581.0,202871.0,177710.0,8249.0,46.0
